base_symbol,quote_symbol,markets_count,markets
"CUDOS","USD",1,"cryptodotcom"
"CUDOS","BTC",1,"Kucoin"
"SQUIDGROW","USDT",3,"ascendex;BitMart;mexc"
"WTF","USDT",1,"ascendex"
"SEAN","USDT",1,"ascendex"
"PDEX","USDT",2,"ascendex;Gateio"
"PDEX","BTC",1,"Kucoin"
"XPL","USDC",3,"backpack;mexc;Binance"
"XPL","USD",5,"Bitfinex;Bitstamp;cryptodotcom;Kraken;OKEX"
"XPL","USDT",7,"Bitfinex;bitget;bybit;Gateio;OKEX;whitebit;Binance"
"XPL","THB",1,"Bitkub"
"XPL","EUR",3,"Bitstamp;bitvavo;Kraken"
"XPL","CAD",1,"NDAX"
"XPL","BTC",1,"Upbit"
"XPL","KRW",1,"Upbit"
"XPL","BNB",1,"Binance"
"XPL","TRY",1,"Binance"
"XPL","FDUSD",1,"Binance"
"PIPE","USDC",1,"backpack"
"PIPE","USDT",3,"Gateio;Kucoin;mexc"
"PIPE","USD",1,"Kraken"
"PIPE","EUR",1,"Kraken"
"PUMP","USDC",5,"backpack;bybit;Cexio;mexc;Binance"
"PUMP","USDT",8,"binanceusa;bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"PUMP","EUR",3,"bit2me;bitvavo;Kraken"
"PUMP","KRW",3,"Bithumb;Coinone;Upbit"
"PUMP","MANTLE",1,"bybit"
"PUMP","USD",4,"Coinbase;cryptodotcom;Kraken;OKEX"
"PUMP","SOL",1,"Kraken"
"PUMP","BRL",1,"MercadoBitcoin"
"PUMP","TRY",1,"Binance"
"WEN","USDC",1,"backpack"
"WEN","USDT",6,"BitMart;bybit;CoinEx;Gateio;Kucoin;mexc"
"WEN","USD",3,"Bitstamp;cryptodotcom;Kraken"
"WEN","EUR",2,"Bitstamp;Kraken"
"WEN","KRW",1,"Coinone"
"BLUE","USDC",1,"backpack"
"BLUE","USDT",7,"bitget;CoinEx;Gateio;HuobiPro;Kucoin;mexc;phemex"
"BLUE","KRW",1,"Coinone"
"BLUE","USD",1,"Kraken"
"BOME","USDC",3,"backpack;Gateio;Binance"
"BOME","USDT",7,"bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"BOME","EUR",1,"bitvavo"
"BOME","USD",3,"Cexio;cryptodotcom;OKEX"
"BOME","BTC",1,"CoinEx"
"BOME","KRW",1,"Coinone"
"BOME","BRL",1,"MercadoBitcoin"
"BOME","IDR",1,"Binance"
"BOME","TRY",1,"Binance"
"BOME","FDUSD",1,"Binance"
"ZKJ","USDC",1,"backpack"
"ZKJ","USDT",4,"bitget;bybit;Gateio;OKEX"
"ZKJ","EUR",1,"bitvavo"
"ZKJ","KRW",1,"Coinone"
"ZKJ","USD",2,"cryptodotcom;OKEX"
"HONEY","USDC",1,"backpack"
"HONEY","USDT",4,"BitMart;CoinEx;Gateio;mexc"
"HONEY","EUR",2,"bitvavo;Kraken"
"HONEY","USD",2,"Coinbase;Kraken"
"DRIFT","USDC",1,"backpack"
"DRIFT","EUR",3,"bit2me;bitvavo;Kraken"
"DRIFT","USDT",4,"bitget;bybit;Gateio;HuobiPro"
"DRIFT","KRW",3,"Bithumb;Coinone;Upbit"
"DRIFT","USD",3,"Coinbase;cryptodotcom;Kraken"
"DRIFT","BTC",1,"Upbit"
"WLFI","USDC",3,"backpack;mexc;Binance"
"WLFI","USDT",7,"bitget;bybit;cryptodotcom;Gateio;OKEX;whitebit;Binance"
"WLFI","KRW",3,"Bithumb;Coinone;Upbit"
"WLFI","USD",4,"Coinbase;cryptodotcom;Kraken;OKEX"
"WLFI","USD1",3,"Gateio;Kucoin;Binance"
"WLFI","EUR",2,"Kraken;Binance"
"WLFI","BRL",2,"MercadoBitcoin;Binance"
"WLFI","BTC",1,"Upbit"
"WLFI","TRY",1,"Binance"
"RAY","USDC",3,"backpack;mexc;Binance"
"RAY","EUR",3,"bit2me;bitvavo;Kraken"
"RAY","USDT",4,"bitget;Gateio;OKEX;Binance"
"RAY","KRW",2,"Bithumb;Upbit"
"RAY","THB",1,"Bitkub"
"RAY","USD",3,"cryptodotcom;Kraken;OKEX"
"RAY","ETH",1,"Gateio"
"RAY","BRL",1,"MercadoBitcoin"
"RAY","BTC",1,"Upbit"
"RAY","TRY",1,"Binance"
"RAY","FDUSD",1,"Binance"
"HAEDAL","USDC",2,"backpack;Binance"
"HAEDAL","USDT",5,"bitget;bybit;Gateio;whitebit;Binance"
